Date,Daily Returns for Mr X's Portfolio,Daily Returns for the S&P500,Daily Returns for Hasbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2014,0.000321925,0.000836705,-0.003626617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/06/2014,0.001991803,0.002172569,0.004022965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/06/2014,0.008497271,0.007718881,-0.000572378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/06/2014,0.001505058,0.001277479,0.001145432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2014,0.001335858,0.001730059,0.004004632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2014,0.000321169,-0.000132464,0.021272534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/06/2014,-0.007938121,-0.006435311,-0.004463498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/06/2014,0.004500231,0.004897511,-0.008966923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/06/2014,-0.001625353,-0.001178884,-0.003770041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/06/2014,0.000686646,0.001910869,0.007568617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2014,-0.001418402,-0.000372257,-0.003755882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/07/2014,0.00570336,0.006677771,0.014514615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/07/2014,0.001788998,0.000658813,-0.003158644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/07/2014,0.005280217,0.005479508,0.008760451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/07/2014,-0.003690621,-0.003923522,-0.009977774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/07/2014,-0.006136889,-0.007048802,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/07/2014,0.003592756,0.004644268,0.009891713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2014,-0.004178271,-0.004131072,-0.007022752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2014,3.1582E-05,0.001470922,0.012283637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/07/2014,0.005193608,0.004843553,-0.004228701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/07/2014,-0.000438674,-0.001932096,-0.011632228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/07/2014,0.004621871,0.004201085,-0.018307474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2014,-0.010792169,-0.011834026,0.007040893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/07/2014,0.007929494,0.010264936,0.005479987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/07/2014,-0.002295059,-0.002320251,-0.02687465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/07/2014,0.004096389,0.00501615,-0.002510577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/07/2014,0.000325553,0.001754438,-0.009293389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/07/2014,0.000780604,0.000488156,0.012311931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/07/2014,-0.004615164,-0.00484915,-0.006563718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/07/2014,-9.52437E-05,0.000288155,-0.006218408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/07/2014,-0.004574248,-0.004527787,-0.008799395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2014,-0.000626187,6.09127E-05,0.008555528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2014,-0.020248418,-0.01999924,-0.014598508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/08/2014,-0.003696194,-0.002859121,-0.007007048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/08/2014,0.007495594,0.007189032,0.002217754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/08/2014,-0.010663726,-0.00968547,0.006839678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/08/2014,0.000203027,1.56384E-05,0.004395629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/08/2014,-0.006253148,-0.00555662,-0.01173663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2014,0.012023544,0.011531403,0.014492778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2014,0.001666871,0.002759425,0.003174595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2014,-0.001509561,-0.001636642,-0.006131361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2014,0.005215126,0.00670716,0.001393039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2014,0.003801108,0.004345814,0.013712209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/2014,-0.001851626,-6.13729E-05,-0.004312823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/2014,0.008178859,0.008531672,0.015751111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/2014,0.00488963,0.005000652,0.006008948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2014,0.002914739,0.002477813,0.004624226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2014,0.004047058,0.002949889,0.008822393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2014,-0.003392101,-0.001992587,-0.00247144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/08/2014,0.005419384,0.004787779,0.004574011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/08/2014,0.001625884,0.001051081,-0.009106427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2014,-0.000395024,4.9987E-05,0.000574359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2014,-0.002494713,-0.001689901,-0.002678901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2014,0.002449211,0.003320415,0.010360734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
